分類	有興趣	地區	名稱	韓文名稱	營業時間	VBP	備註																			
1.景點	*	1.機張	釜山樂天世界冒險樂園	롯데월드 어드벤처 부산	10:00-19:00	"A區 ₩47,000"	14:00 遊行表演																			
1.景點	*	1.機張	釜山斜坡滑車 Skyline Luge	스카이라인 루지 부산	10:00-18:00	"A區 ₩30,000"	"斜坡滑車 3回券 - 33,000韓元，VBP 3回券 20%折扣"																			
1.景點	*	1.機張	海東龍宮寺	해동용궁사	04:00-20:00		於韓國釜山的一座著名臨海佛寺，以其美麗的海景和觀音信仰聞名																			
1.景點		1.機張	釜山 Brick Campus 積木樂園	브릭캠퍼스 부산	10:30-20:00	"B區 ₩15,000"																				
1.景點		1.機張	國立釜山科學館	국립부산과학관	09:30-17:30	"B區 ₩4,000"	週一休息																			
1.景點	*	2.海雲台	SEA LIFE釜山水族館	씨라이프 부산 아쿠아리움	10:00-19:00	30% off	"鯊魚餵食秀在每天 12:00 & 16:00 (B3 海洋劇場)
美人魚表演 (Mermaid Show)： 11:20, 13:00, 14:20, 16:40 (週三公休) (B3 7m珊瑚區)
入場券 31,000韓元，VBP 享七折優惠"																			
1.景點	*	2.海雲台	Spa Land Centum City汗蒸幕	스파랜드 신세계백화점 센텀시티점	08:00-23:00	"A區 ₩25,000"																				
1.景點	*	2.海雲台	海雲台海岸列車	해변열차	09:30-20:30	"B區 ₩16,000"	尾浦->青沙浦 可以面對海																			
1.景點	*	2.海雲台	膠囊小火車(Sky Capsule)	스카이캡슐	09:30-20:00		尾浦->青沙浦 可以面對海																			
1.景點	*	2.海雲台	"青沙浦天空步道
(Cheongsapo Daritdol Skywalk)"	청사포 다릿돌 전망대																						
1.景點		2.海雲台	Busan X the SKY	부산 엑스 더 스카이	10:00-21:00	"A區 ₩27,000"	最後入場/售票時間：20:30																			
1.景點	*	2.海雲台	ClubD Oasis汗蒸幕水上樂園	클럽디오아시스	10:00-18:00	"A區 ₩33,000"																				
1.景點	*	2.海雲台	MUSEUM 1	뮤지엄 원	10:00-19:00	"B區 ₩18,000"	現代藝術博物館。KKDAY購票 成人309，小孩223																			
1.景點	*	3.廣安里	廣安里M無人機燈光秀	광안리M(Marvelous) 드론라이트쇼			每週六晚上8點和晚上10點																			
1.景點	*	4.西面	Running Man體驗館	런닝맨 체험관	11:00-20:00	"B區 ₩19,000"																				
1.景點		4.西面	田浦咖啡街	전포카페거리																						
1.景點	*	5.南浦洞	釜山影島大橋	영도대교			"定期開橋時間是每週六下午 2:00 至 2:15
是一座歷史悠久、具有開合功能的吊橋，連接釜山港，是當地重要的地標"																			
1.景點		5.南浦洞	釜山塔 (鑽石塔)	부산타워 (다이아몬드타워)	10:00-22:00	"B區 ₩12,000"	1973年落成啟用的釜山塔高度為120公尺，站上釜山塔觀景台，鄰近的建築一覽無遺，像是釜山港、廣安大橋、影島大橋、樂天百貨公司等知名景點等 kkday 購票，即買即用，成人232 兒童174																			
1.景點		5.南浦洞	釜山電影體驗博物館	부산영화체험박물관	10:00-18:00	"B區 ₩10,000"	週一休息，最後入場：17:00																			
1.景點		5.南浦洞	光復路時尚街	광복로 문화 패션 거리			一條結合了購物、美食、電影文化（BIFF廣場）的熱鬧區域，匯集了國際品牌和特色小店，是釜山必訪的潮流勝地																			
1.景點		5.南浦洞	BIFF 廣場	BIFF광장			一定要吃糖餅																			
1.景點		5.南浦洞	札嘎其市場	자갈치시장	05:00-21:00																					
1.景點		5.南浦洞	臨時首都紀念館	임시수도기념관	09:00-18:00		週一休息。記錄了韓戰期間釜山作為臨時首都的歷史，曾是總統官邸																			
1.景點		5.南浦洞	富平罐頭市場	부평깡통시장	08:00-20:00		以販售罐頭商品起家，現已發展成有許多美食和特色小店的觀光景點																			
1.景點	*	6.影島	太宗台海洋飛行主題公園	태종대 오션플라잉 테마파크	09:00-18:00	30% off	"海上高空滑索 1 次 30,000 韓元 (約 650 台幣)，有釜山通行證可以打七 折"																			
1.景點	*	6.影島	太宗台Danubi列車	다누비 열차	09:00-17:30	"B區 ₩4,000"																				
1.景點		6.影島	Arte Museum釜山	아르떼뮤지엄 부산	10:00-20:00	"B區 ₩25,000"	沉浸式藝術展，結合光影、音樂、香氣的沉浸式媒體藝術展館，以「永恆自然」為主題，展現釜山獨特風景																			
1.景點		6.影島	國立海洋博物館4D影像館	국립해양박물관 4D영상관	09:00-18:00	"B區 ₩5,000"	周二至周五有13:00、14:00、15:00場次，週末: 12:00、13:00、14:00、15:00																			
